"г Новосибирск, ул Планетная, д 30 к 2а",+79513982262,5406782252, retail point create in csv
"г Новосибирск, ул Планетная, д 30 к 2а",+79513982262,5406782253, retail point create in csv2
"г Новосибирск, ул Планетная, д 30 к 2а",+79513982262,5406782254, retail point create in csv3
"г Новосибирск, ул Планетная, д 30 к 2а",+79513982262,5406782255, retail point create in csv4
"г Новосибирск, ул Планетная, д 30 к 2а",+79513982262,5406782256, retail point create in csv5
"г Новосибирск, ул Планетная, д 30 к 2а",+79513982262,5406782257, retail point create in csv6
"г Новосибирск, ул Планетная, д 30 к 2а",+79513982262,5406782258, retail point create in csv7
"г Новосибирск, ул Планетная, д 30 к 2а",+79513982262,5406782259, retail point create in csv8
"г Новосибирск, ул Планетная, д 30 к 2а",+79513982262,5406782260, retail point create in csv9
"г Новосибирск, ул Планетная, д 30 к 2а",+79513982262,5406782261, retail point create in csv10
